"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1826",543243,"Sonny Gray",2014,"3295","55.42","0.259","0.125","0.277","0.383","0.330","0.095","0.000","112","433","null","null","null","93.7","null","109","768","1044","null","null","null","null","null","null","null","null","null"
"1276",285064,"Ryan Vogelsong",2015,"2311","55.21","0.270","0.167","0.313","0.436","0.352","0.360","0.272","76","282","87.2","14.6","2054","91.6","91.87","81","559","710","0.3","6.53","111","148","110","146","291","316","294"
"1615",285064,"Ryan Vogelsong",2011,"2937","54.99","0.235","0.116","0.285","0.351","0.294","0.073","0.000","87","370","null","null","null","92.0","null","106","712","897","null","null","null","null","null","null","null","null","null"
"1998",453286,"Max Scherzer",2014,"3638","54.92","0.243","0.140","0.323","0.383","0.305","0.063","0.000","102","420","null","null","null","93.4","null","211","935","1046","null","null","null","null","null","null","null","null","null"
"1881",453311,"Tim Lincecum",2010,"3437","54.73","0.271","0.127","0.318","0.398","0.331","0.080","0.000","102","377","null","null","null","91.9","null","116","750","1114","null","null","null","null","null","null","null","null","null"
"1870",519242,"Chris Sale",2016,"3432","54.49","0.231","0.188","0.260","0.419","0.306","0.316","0.243","97","420","83.9","20.5","2234","93.7","92.49","195","926","932","-1.2","6.06","106","150","106","145","297","313","283"
"1953",453311,"Tim Lincecum",2011,"3607","54.14","0.264","0.125","0.324","0.389","0.339","0.107","0.000","97","368","null","null","null","92.7","null","141","779","1159","null","null","null","null","null","null","null","null","null"
"1834",477132,"Clayton Kershaw",2015,"3397","53.99","0.235","0.108","0.294","0.344","0.287","0.285","0.234","100","425","83.0","11.6","2215","94.2","93.91","202","891","928","-0.3","6.42","113","149","104","148","291","302","287"
"1880",430912,"Matt Cain",2011,"3488","53.90","0.243","0.133","0.293","0.376","0.300","0.064","0.000","101","415","null","null","null","91.8","null","159","881","981","null","null","null","null","null","null","null","null","null"
"1937",433587,"Felix Hernandez",2011,"3608","53.69","0.294","0.152","0.323","0.446","0.361","0.083","0.000","128","435","null","null","null","93.9","null","124","849","1076","null","null","null","null","null","null","null","null","null"
"1723",425844,"Zack Greinke",2014,"3210","53.68","0.265","0.116","0.341","0.381","0.303","0.044","0.000","98","370","null","null","null","92.4","null","153","761","958","null","null","null","null","null","null","null","null","null"
"1451",477132,"Clayton Kershaw",2014,"2722","53.31","0.251","0.110","0.294","0.361","0.290","0.047","0.000","82","327","null","null","null","93.7","null","103","702","732","null","null","null","null","null","null","null","null","null"
"1215",446372,"Corey Kluber",2013,"2290","53.06","0.340","0.193","0.368","0.533","0.397","0.060","0.000","97","285","null","null","null","93.8","null","60","477","729","null","null","null","null","null","null","null","null","null"
"1697",518516,"Madison Bumgarner",2011,"3202","53.00","0.267","0.126","0.320","0.393","0.309","0.049","0.000","104","389","null","null","null","92.2","null","154","764","924","null","null","null","null","null","null","null","null","null"
"1715",425844,"Zack Greinke",2015,"3239","52.95","0.198","0.150","0.219","0.348","0.265","0.284","0.221","71","359","86.1","18.0","2370","92.3","91.77","153","777","927","-0.5","6.07","117","150","109","150","293","306","291"
"1651",346798,"Kyle Lohse",2012,"3127","52.80","0.250","0.148","0.260","0.398","0.295","0.043","0.000","88","352","null","null","null","90.1","null","48","623","1017","null","null","null","null","null","null","null","null","null"
"1683",446372,"Corey Kluber",2016,"3189","52.78","0.274","0.206","0.322","0.480","0.357","0.335","0.254","105","383","84.8","16.7","2310","93.0","93.70","109","689","989","0.7","6.47","107","151","111","148","293","312","288"
"1753",519242,"Chris Sale",2015,"3323","52.75","0.248","0.188","0.318","0.435","0.318","0.291","0.225","99","400","87.2","18.9","2282","95.1","94.43","255","899","848","-0.7","6.25","107","146","106","145","294","306","279"
"1552",605228,"Jose Fernandez",2016,"2943","52.74","0.289","0.115","0.373","0.403","0.330","0.323","0.275","88","305","84.3","19.4","2434","95.8","96.29","151","682","860","0.5","6.68","110","149","105","146","290","319","294"
"413",605228,"Jose Fernandez",2014,"787","52.48","0.247","0.222","0.267","0.469","0.330","0.048","0.000","20","81","null","null","null","95.7","null","46","192","219","null","null","null","null","null","null","null","null","null"
"1898",448306,"James Shields",2012,"3617","52.47","0.268","0.165","0.311","0.433","0.342","0.076","0.000","122","455","null","null","null","91.9","null","128","827","1053","null","null","null","null","null","null","null","null","null"
"1647",435178,"Josh Johnson",2012,"3145","52.37","0.284","0.151","0.304","0.435","0.341","0.072","0.000","105","370","null","null","null","93.4","null","88","709","926","null","null","null","null","null","null","null","null","null"
"1714",446372,"Corey Kluber",2015,"3274","52.35","0.276","0.183","0.322","0.460","0.340","0.346","0.279","116","420","88.8","11.6","2253","93.4","93.80","125","801","897","0.4","6.45","109","150","109","148","285","306","292"
"893",519455,"Jordan Zimmermann",2016,"1707","52.31","0.346","0.267","0.341","0.613","0.424","0.387","0.299","66","191","84.5","26.6","2372","92.4","91.83","51","406","483","-0.6","6.11","109","151","113","145","302","320","291"
"1827",446372,"Corey Kluber",2014,"3500","52.20","0.302","0.156","0.352","0.459","0.355","0.057","0.000","124","410","null","null","null","93.8","null","101","738","1078","null","null","null","null","null","null","null","null","null"
"1753",518516,"Madison Bumgarner",2014,"3372","51.99","0.235","0.141","0.297","0.376","0.284","0.040","0.000","85","362","null","null","null","92.2","null","231","894","850","null","null","null","null","null","null","null","null","null"
"1701",453311,"Tim Lincecum",2012,"3299","51.56","0.261","0.132","0.312","0.393","0.326","0.084","0.000","87","333","null","null","null","90.9","null","129","703","985","null","null","null","null","null","null","null","null","null"
"1415",519242,"Chris Sale",2014,"2753","51.40","0.221","0.098","0.288","0.319","0.276","0.066","0.000","63","285","null","null","null","94.6","null","145","673","733","null","null","null","null","null","null","null","null","null"
"1754",433587,"Felix Hernandez",2012,"3422","51.26","0.263","0.119","0.304","0.382","0.317","0.065","0.000","119","453","null","null","null","92.9","null","128","807","936","null","null","null","null","null","null","null","null","null"
"566",519242,"Chris Sale",2011,"1105","51.22","0.283","0.236","0.294","0.520","0.386","0.098","0.000","36","127","null","null","null","95.9","null","41","231","328","null","null","null","null","null","null","null","null","null"
"1280",425844,"Zack Greinke",2016,"2503","51.14","0.325","0.242","0.341","0.567","0.398","0.373","0.293","94","289","83.5","23.4","2345","91.8","91.71","73","573","703","-0.1","6.14","112","153","116","148","302","323","303"
"422",448802,"Jaime Garcia",2013,"826","51.09","0.317","0.135","0.333","0.452","0.366","0.066","0.000","33","104","null","null","null","89.3","null","28","190","227","null","null","null","null","null","null","null","null","null"
"1825",448306,"James Shields",2011,"3576","51.03","0.260","0.157","0.272","0.416","0.334","0.079","0.000","116","447","null","null","null","90.3","null","85","791","1022","null","null","null","null","null","null","null","null","null"
"1751",453562,"Jake Arrieta",2015,"3438","50.93","0.221","0.094","0.273","0.314","0.263","0.261","0.218","73","331","84.0","9.4","2273","95.2","94.66","125","717","1023","-0.5","6.25","113","150","107","148","285","298","285"
"1707",450308,"Jered Weaver",2014,"3352","50.92","0.255","0.165","0.273","0.420","0.324","0.064","0.000","97","381","null","null","null","86.9","null","87","647","1050","null","null","null","null","null","null","null","null","null"
"1043",477132,"Clayton Kershaw",2016,"2062","50.58","0.243","0.123","0.295","0.366","0.273","0.267","0.229","59","243","82.1","21.1","2293","93.6","93.46","102","502","537","-0.1","6.46","113","151","106","145","289","307","287"
"727",430912,"Matt Cain",2014,"1440","50.49","0.255","0.159","0.280","0.414","0.334","0.085","0.000","40","157","null","null","null","92.2","null","43","322","397","null","null","null","null","null","null","null","null","null"
"501",430912,"Matt Cain",2015,"993","50.45","0.291","0.265","0.298","0.556","0.383","0.402","0.303","34","117","86.6","19.0","2405","91.5","90.04","35","255","243","-1.5","5.43","110","148","109","146","288","315","295"
"1685",430912,"Matt Cain",2012,"3345","50.37","0.259","0.172","0.310","0.431","0.330","0.074","0.000","90","348","null","null","null","91.7","null","169","802","870","null","null","null","null","null","null","null","null","null"
"1632",519242,"Chris Sale",2013,"3248","50.25","0.266","0.149","0.297","0.414","0.321","0.053","0.000","107","403","null","null","null","93.9","null","125","760","860","null","null","null","null","null","null","null","null","null"
"782",430912,"Matt Cain",2016,"1568","49.87","0.343","0.256","0.379","0.599","0.428","0.382","0.294","59","172","84.0","26.6","2458","90.9","89.76","56","355","420","-1.1","5.52","110","149","110","148","286","308","297"
"1622",453311,"Tim Lincecum",2013,"3281","49.44","0.315","0.180","0.342","0.495","0.388","0.094","0.000","105","333","null","null","null","90.8","null","94","651","964","null","null","null","null","null","null","null","null","null"
"1761",518516,"Madison Bumgarner",2016,"3571","49.31","0.230","0.197","0.250","0.427","0.311","0.334","0.248","83","361","83.8","28.5","2303","91.3","91.85","183","807","945","0.5","6.72","109","148","109","146","287","308","293"
"1632",518516,"Madison Bumgarner",2015,"3313","49.26","0.241","0.139","0.290","0.381","0.291","0.298","0.244","97","402","85.9","20.8","2311","92.7","92.52","185","841","779","-0.2","6.39","110","148","108","144","291","314","291"
"1205",433587,"Felix Hernandez",2016,"2453","49.12","0.280","0.198","0.292","0.478","0.374","0.379","0.285","75","268","84.1","16.8","1970","90.9","90.91","69","516","678","0.0","6.56","107","150","108","145","289","310","290"
"682",285064,"Ryan Vogelsong",2016,"1390","49.06","0.234","0.175","0.257","0.409","0.314","0.331","0.262","40","171","83.5","14.8","2026","90.7","90.91","41","299","377","0.2","6.63","111","150","110","148","298","306","288"
"413",502171,"Alex Cobb",2011,"842","49.05","0.312","0.052","0.353","0.364","0.364","0.119","0.000","24","77","null","null","null","91.9","null","18","143","270","null","null","null","null","null","null","null","null","null"
"189",502171,"Alex Cobb",2016,"386","48.96","0.400","0.280","0.425","0.680","0.470","0.397","0.326","20","50","88.2","14.1","2083","90.9","89.30","6","82","107","-1.6","5.63","104","153","111","146","296","325","297"
"1484",285064,"Ryan Vogelsong",2014,"3058","48.53","0.269","0.146","0.326","0.414","0.333","0.073","0.000","94","350","null","null","null","91.0","null","113","651","816","null","null","null","null","null","null","null","null","null"
"1408",430912,"Matt Cain",2013,"2922","48.19","0.260","0.199","0.291","0.459","0.348","0.076","0.000","85","327","null","null","null","91.8","null","101","685","713","null","null","null","null","null","null","null","null","null"
"1140",453562,"Jake Arrieta",2014,"2416","47.19","0.252","0.057","0.310","0.310","0.284","0.067","0.000","53","210","null","null","null","94.2","null","72","457","678","null","null","null","null","null","null","null","null","null"
"1020",502171,"Alex Cobb",2012,"2169","47.03","0.289","0.175","0.325","0.464","0.356","0.080","0.000","56","194","null","null","null","90.8","null","44","352","661","null","null","null","null","null","null","null","null","null"
