"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"865",448802,"Jaime Garcia",2015,"1857","46.58","0.107","0.050","0.185","0.157","0.211","0.220","0.122","13","121","80.6","3.4","2258","86.6","86.17","100","240","617","-0.4","5.98","108","147","108","146","294","306","295"
"352",543699,"Tanner Roark",2013,"756","46.56","0.133","0.017","0.186","0.150","0.212","0.107","0.000","8","60","null","null","null","88.6","null","33","118","234","null","null","null","null","null","null","null","null","null"
"1146",519455,"Jordan Zimmermann",2011,"2464","46.51","0.217","0.083","0.360","0.299","0.308","0.126","0.000","34","157","null","null","null","89.9","null","109","331","799","null","null","null","null","null","null","null","null","null"
"1440",519455,"Jordan Zimmermann",2015,"3103","46.41","0.135","0.023","0.238","0.158","0.221","0.210","0.118","30","222","78.0","9.0","2303","90.2","89.58","155","424","995","-0.6","5.99","110","151","108","147","288","303","296"
"1211",605228,"Jose Fernandez",2013,"2612","46.36","0.104","0.030","0.219","0.134","0.257","0.180","0.000","17","164","null","null","null","89.9","null","146","348","840","null","null","null","null","null","null","null","null","null"
"586",424324,"Cliff Lee",2014,"1273","46.03","0.224","0.071","0.357","0.296","0.281","0.081","0.000","22","98","null","null","null","86.7","null","62","174","407","null","null","null","null","null","null","null","null","null"
"1717",456034,"David Price",2014,"3730","46.03","0.128","0.033","0.240","0.160","0.207","0.099","0.000","31","243","null","null","null","89.8","null","178","489","1215","null","null","null","null","null","null","null","null","null"
"1385",112526,"Bartolo Colon",2014,"3011","46.00","0.214","0.053","0.289","0.267","0.282","0.104","0.000","40","187","null","null","null","87.7","null","97","401","962","null","null","null","null","null","null","null","null","null"
"1417",519455,"Jordan Zimmermann",2013,"3083","45.96","0.129","0.054","0.202","0.183","0.228","0.115","0.000","26","202","null","null","null","90.1","null","138","407","997","null","null","null","null","null","null","null","null","null"
"1424",547874,"Hisashi Iwakuma",2013,"3102","45.91","0.152","0.056","0.263","0.208","0.228","0.092","0.000","38","250","null","null","null","85.8","null","190","464","948","null","null","null","null","null","null","null","null","null"
"1608",285079,"R.A. Dickey",2013,"3505","45.88","0.144","0.065","0.200","0.209","0.297","0.185","0.000","29","201","null","null","null","76.5","null","126","436","1158","null","null","null","null","null","null","null","null","null"
"945",477132,"Clayton Kershaw",2016,"2062","45.83","0.121","0.043","0.281","0.163","0.161","0.148","0.110","17","141","77.0","9.3","2335","87.6","87.06","167","321","616","-0.5","6.18","113","152","108","145","291","308","288"
"1339",519455,"Jordan Zimmermann",2014,"2924","45.79","0.134","0.026","0.240","0.159","0.198","0.085","0.000","31","232","null","null","null","91.7","null","162","438","892","null","null","null","null","null","null","null","null","null"
"1237",112526,"Bartolo Colon",2015,"2708","45.68","0.226","0.074","0.293","0.300","0.277","0.281","0.220","52","230","82.8","6.1","2119","87.4","85.37","80","389","819","-2.0","5.26","111","150","112","145","291","309","293"
"1601",285079,"R.A. Dickey",2014,"3513","45.57","0.154","0.041","0.220","0.195","0.315","0.208","0.000","30","195","null","null","null","76.8","null","133","424","1154","null","null","null","null","null","null","null","null","null"
"1224",450729,"Doug Fister",2010,"2701","45.32","0.196","0.088","0.219","0.284","0.276","0.096","0.000","38","194","null","null","null","86.2","null","60","381","828","null","null","null","null","null","null","null","null","null"
"1245",112526,"Bartolo Colon",2013,"2777","44.83","0.220","0.029","0.306","0.249","0.270","0.093","0.000","38","173","null","null","null","89.3","null","85","374","870","null","null","null","null","null","null","null","null","null"
"1169",285079,"R.A. Dickey",2010,"2611","44.77","0.190","0.065","0.242","0.256","0.287","0.129","0.000","32","168","null","null","null","77.3","null","93","333","816","null","null","null","null","null","null","null","null","null"
"1503",285079,"R.A. Dickey",2012,"3360","44.73","0.119","0.070","0.194","0.189","0.245","0.140","0.000","27","227","null","null","null","78.1","null","163","489","990","null","null","null","null","null","null","null","null","null"
"1515",456034,"David Price",2015,"3389","44.70","0.124","0.040","0.232","0.164","0.220","0.227","0.130","28","226","80.7","8.2","2132","90.1","89.11","172","459","1040","-1.0","5.91","107","151","111","144","292","307","281"
"1496",453286,"Max Scherzer",2015,"3359","44.54","0.148","0.074","0.290","0.222","0.228","0.216","0.132","34","230","81.2","15.7","2205","89.6","88.74","227","496","982","-0.9","5.95","112","150","107","147","285","303","292"
"1386",285079,"R.A. Dickey",2011,"3132","44.25","0.151","0.066","0.190","0.217","0.296","0.180","0.000","25","166","null","null","null","77.9","null","96","374","984","null","null","null","null","null","null","null","null","null"
"1196",477132,"Clayton Kershaw",2014,"2722","43.94","0.091","0.029","0.221","0.120","0.168","0.088","0.000","19","208","null","null","null","88.9","null","199","426","763","null","null","null","null","null","null","null","null","null"
"1435",424324,"Cliff Lee",2011,"3403","42.17","0.154","0.058","0.252","0.212","0.237","0.101","0.000","37","241","null","null","null","88.0","null","142","435","987","null","null","null","null","null","null","null","null","null"
"1302",424324,"Cliff Lee",2012,"3099","42.01","0.159","0.066","0.282","0.225","0.217","0.067","0.000","36","227","null","null","null","88.0","null","143","409","887","null","null","null","null","null","null","null","null","null"
"894",112526,"Bartolo Colon",2012,"2141","41.76","0.253","0.067","0.336","0.320","0.308","0.092","0.000","38","150","null","null","null","90.0","null","58","271","616","null","null","null","null","null","null","null","null","null"
"1335",424324,"Cliff Lee",2013,"3253","41.04","0.136","0.056","0.236","0.192","0.215","0.092","0.000","27","198","null","null","null","87.6","null","140","413","913","null","null","null","null","null","null","null","null","null"
"1189",424324,"Cliff Lee",2010,"2981","39.89","0.174","0.076","0.313","0.250","0.224","0.058","0.000","32","184","null","null","null","88.7","null","104","352","826","null","null","null","null","null","null","null","null","null"
