"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3597",456034,"David Price",2016,"3597","100.00","0.258","0.161","0.313","0.419","0.310","0.298","0.241","227","880","82.7","14.2","2055","89.4","88.28","456","1824","1754","-1.1","5.88","106","148","113","146","285","318","286"
"3165",452657,"Jon Lester",2016,"3165","100.00","0.211","0.123","0.258","0.334","0.266","0.278","0.223","154","730","82.0","16.2","2286","89.3","89.09","354","1474","1667","-0.2","6.31","110","150","108","147","291","318","289"
"2150",434378,"Justin Verlander",2015,"2150","100.00","0.229","0.128","0.268","0.357","0.278","0.263","0.219","113","493","85.8","20.2","2419","89.3","88.74","235","1039","1098","-0.6","6.04","109","151","114","144","286","302","280"
"3145",435178,"Josh Johnson",2012,"3145","100.00","0.252","0.111","0.306","0.363","0.299","0.061","0.000","180","713","null","null","null","89.3","null","318","1374","1712","null","null","null","null","null","null","null","null","null"
"3568",136880,"Roy Halladay",2010,"3568","100.00","0.245","0.128","0.294","0.373","0.279","0.025","0.000","231","943","null","null","null","89.3","null","386","1739","1799","null","null","null","null","null","null","null","null","null"
"3434",433587,"Felix Hernandez",2014,"3434","100.00","0.200","0.103","0.260","0.303","0.242","0.039","0.000","170","852","null","null","null","89.3","null","446","1577","1826","null","null","null","null","null","null","null","null","null"
"2722",477132,"Clayton Kershaw",2014,"2722","100.00","0.196","0.093","0.281","0.289","0.229","0.031","0.000","139","709","null","null","null","89.2","null","407","1428","1273","null","null","null","null","null","null","null","null","null"
"3315",461829,"Gio Gonzalez",2013,"3315","100.00","0.231","0.133","0.290","0.363","0.295","0.067","0.000","169","732","null","null","null","89.2","null","341","1482","1807","null","null","null","null","null","null","null","null","null"
"2981",424324,"Cliff Lee",2010,"2981","100.00","0.240","0.123","0.290","0.363","0.266","0.016","0.000","195","813","null","null","null","89.2","null","272","1514","1449","null","null","null","null","null","null","null","null","null"
"2753",519242,"Chris Sale",2014,"2753","100.00","0.205","0.100","0.282","0.305","0.254","0.051","0.000","129","630","null","null","null","89.2","null","387","1322","1410","null","null","null","null","null","null","null","null","null"
"3199",452657,"Jon Lester",2011,"3199","100.00","0.234","0.140","0.287","0.374","0.307","0.076","0.000","166","709","null","null","null","89.2","null","311","1413","1759","null","null","null","null","null","null","null","null","null"
"1707",519455,"Jordan Zimmermann",2016,"1707","100.00","0.284","0.195","0.305","0.478","0.344","0.330","0.264","118","416","83.5","19.9","2364","89.2","88.53","144","825","874","-0.7","5.96","109","151","113","145","303","321","291"
"3295",543243,"Sonny Gray",2014,"3295","100.00","0.232","0.094","0.281","0.327","0.281","0.063","0.000","187","805","null","null","null","89.2","null","320","1433","1829","null","null","null","null","null","null","null","null","null"
"1579",506433,"Yu Darvish",2016,"1579","100.00","0.214","0.146","0.290","0.360","0.280","0.264","0.196","81","378","82.6","17.5","2454","89.1","89.40","221","748","825","0.3","6.37","108","149","111","147","301","329","302"
"3339",218596,"Tim Hudson",2010,"3339","100.00","0.229","0.114","0.253","0.343","0.285","0.063","0.000","189","826","null","null","null","89.1","null","267","1464","1809","null","null","null","null","null","null","null","null","null"
"3390",477132,"Clayton Kershaw",2010,"3390","100.00","0.214","0.106","0.279","0.320","0.276","0.073","0.000","160","748","null","null","null","89.1","null","365","1474","1863","null","null","null","null","null","null","null","null","null"
"756",543699,"Tanner Roark",2013,"756","100.00","0.202","0.027","0.248","0.229","0.217","0.041","0.000","38","188","null","null","null","89.1","null","54","333","418","null","null","null","null","null","null","null","null","null"
"3136",430935,"Cole Hamels",2014,"3136","100.00","0.235","0.110","0.298","0.345","0.283","0.057","0.000","176","748","null","null","null","89.1","null","426","1559","1539","null","null","null","null","null","null","null","null","null"
"2097",453562,"Jake Arrieta",2011,"2097","100.00","0.253","0.196","0.274","0.448","0.344","0.084","0.000","115","455","null","null","null","89.1","null","170","885","1192","null","null","null","null","null","null","null","null","null"
"958",456501,"Johnny Cueto",2013,"958","100.00","0.209","0.127","0.239","0.336","0.268","0.055","0.000","46","220","null","null","null","89.0","null","112","459","489","null","null","null","null","null","null","null","null","null"
"3397",477132,"Clayton Kershaw",2015,"3397","100.00","0.194","0.089","0.283","0.283","0.232","0.228","0.191","163","840","83.3","9.1","2202","89.0","88.37","568","1734","1644","-0.6","6.19","114","150","106","148","292","303","287"
"3449",456501,"Johnny Cueto",2012,"3449","100.00","0.252","0.114","0.299","0.366","0.293","0.048","0.000","205","815","null","null","null","89.0","null","338","1621","1782","null","null","null","null","null","null","null","null","null"
"3239",425844,"Zack Greinke",2015,"3239","100.00","0.187","0.089","0.232","0.276","0.225","0.256","0.215","148","790","86.1","10.6","2247","89.0","88.38","418","1539","1675","-0.6","5.96","117","150","109","149","293","306","292"
"1718",453562,"Jake Arrieta",2010,"1718","100.00","0.271","0.141","0.292","0.412","0.337","0.081","0.000","106","391","null","null","null","88.9","null","111","736","958","null","null","null","null","null","null","null","null","null"
"2532",434671,"Anibal Sanchez",2015,"2532","100.00","0.252","0.207","0.281","0.459","0.329","0.303","0.242","152","603","85.9","14.5","2197","88.9","88.49","265","1147","1373","-0.4","6.15","108","151","113","144","288","306","283"
"3408",461829,"Gio Gonzalez",2011,"3408","100.00","0.230","0.105","0.288","0.336","0.296","0.080","0.000","175","760","null","null","null","88.9","null","364","1438","1953","null","null","null","null","null","null","null","null","null"
"3355",543699,"Tanner Roark",2016,"3355","100.00","0.228","0.099","0.274","0.327","0.284","0.306","0.239","173","758","81.9","12.0","2173","88.9","88.08","319","1446","1860","-0.8","5.81","109","149","111","146","294","307","287"
"3254",430935,"Cole Hamels",2016,"3254","100.00","0.243","0.137","0.299","0.380","0.311","0.318","0.243","185","760","83.4","11.6","1999","88.9","88.84","424","1571","1660","-0.1","6.31","105","148","109","145","306","328","298"
"3344",430935,"Cole Hamels",2015,"3344","100.00","0.238","0.131","0.297","0.369","0.295","0.290","0.232","190","800","86.2","10.5","2013","88.8","88.62","475","1670","1632","-0.2","6.38","107","150","109","147","292","315","290"
"3638",453286,"Max Scherzer",2014,"3638","100.00","0.238","0.130","0.317","0.368","0.291","0.053","0.000","196","823","null","null","null","88.8","null","472","1739","1866","null","null","null","null","null","null","null","null","null"
"3607",453311,"Tim Lincecum",2011,"3607","100.00","0.222","0.122","0.288","0.344","0.286","0.072","0.000","176","794","null","null","null","88.8","null","421","1585","1970","null","null","null","null","null","null","null","null","null"
"3202",518516,"Madison Bumgarner",2011,"3202","100.00","0.260","0.106","0.329","0.366","0.292","0.042","0.000","202","777","null","null","null","88.8","null","331","1502","1655","null","null","null","null","null","null","null","null","null"
"2062",477132,"Clayton Kershaw",2016,"2062","100.00","0.184","0.084","0.256","0.268","0.206","0.224","0.193","97","526","82.2","14.0","2330","88.7","88.23","331","1059","989","-0.5","6.21","114","151","107","145","290","308","288"
"1354",453329,"Clay Buchholz",2011,"1354","100.00","0.241","0.156","0.265","0.397","0.309","0.065","0.000","76","315","null","null","null","88.7","null","124","595","749","null","null","null","null","null","null","null","null","null"
"2097",434671,"Anibal Sanchez",2014,"2097","100.00","0.228","0.095","0.280","0.323","0.264","0.044","0.000","108","474","null","null","null","88.7","null","213","994","1084","null","null","null","null","null","null","null","null","null"
"3123",434622,"Ubaldo Jimenez",2012,"3123","100.00","0.273","0.179","0.310","0.452","0.358","0.090","0.000","190","697","null","null","null","88.7","null","247","1273","1819","null","null","null","null","null","null","null","null","null"
"2947",461829,"Gio Gonzalez",2015,"2947","100.00","0.269","0.105","0.343","0.374","0.316","0.304","0.241","181","673","86.5","7.4","2229","88.7","87.84","306","1301","1611","-0.9","6.01","107","148","107","146","292","303","289"
"556",519455,"Jordan Zimmermann",2010,"556","100.00","0.256","0.240","0.264","0.496","0.347","0.062","0.000","31","121","null","null","null","88.7","null","32","234","314","null","null","null","null","null","null","null","null","null"
"3428",477132,"Clayton Kershaw",2013,"3428","100.00","0.195","0.082","0.255","0.277","0.232","0.042","0.000","164","840","null","null","null","88.7","null","429","1660","1745","null","null","null","null","null","null","null","null","null"
"3501",430912,"Matt Cain",2010,"3501","100.00","0.221","0.148","0.254","0.369","0.281","0.051","0.000","181","818","null","null","null","88.6","null","347","1676","1790","null","null","null","null","null","null","null","null","null"
"3409",434378,"Justin Verlander",2014,"3409","100.00","0.275","0.151","0.320","0.426","0.329","0.055","0.000","223","812","null","null","null","88.6","null","326","1608","1782","null","null","null","null","null","null","null","null","null"
"3432",519242,"Chris Sale",2016,"3432","100.00","0.227","0.145","0.281","0.372","0.285","0.292","0.232","190","837","83.0","17.8","2218","88.6","87.38","416","1679","1717","-1.2","5.92","107","150","106","145","298","313","283"
"3632",448306,"James Shields",2014,"3632","100.00","0.256","0.148","0.296","0.404","0.305","0.041","0.000","224","874","null","null","null","88.5","null","380","1712","1894","null","null","null","null","null","null","null","null","null"
"3372",518516,"Madison Bumgarner",2014,"3372","100.00","0.240","0.132","0.301","0.372","0.283","0.039","0.000","194","810","null","null","null","88.5","null","412","1692","1653","null","null","null","null","null","null","null","null","null"
"3185",452657,"Jon Lester",2015,"3185","100.00","0.240","0.134","0.306","0.373","0.289","0.274","0.226","183","764","85.6","10.2","2209","88.5","87.87","354","1443","1716","-0.6","6.04","109","149","105","146","286","299","282"
"3099",424324,"Cliff Lee",2012,"3099","100.00","0.255","0.156","0.310","0.411","0.297","0.023","0.000","207","812","null","null","null","88.5","null","309","1509","1570","null","null","null","null","null","null","null","null","null"
"2623",461829,"Gio Gonzalez",2014,"2623","100.00","0.230","0.118","0.299","0.348","0.286","0.063","0.000","134","583","null","null","null","88.4","null","316","1209","1391","null","null","null","null","null","null","null","null","null"
"2922",430912,"Matt Cain",2013,"2922","100.00","0.228","0.160","0.263","0.389","0.295","0.055","0.000","158","692","null","null","null","88.4","null","279","1366","1528","null","null","null","null","null","null","null","null","null"
"3368",430935,"Cole Hamels",2010,"3368","100.00","0.237","0.156","0.293","0.394","0.302","0.056","0.000","185","780","null","null","null","88.4","null","440","1608","1718","null","null","null","null","null","null","null","null","null"
