"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1333",448802,"Jaime Garcia",2016,"2578","51.71","0.309","0.226","0.325","0.535","0.356","0.321","0.288","155","501","85.2","7.6","2352","88.4","87.48","118","830","488","-0.9","5.96","107","147","109","144","297","313","295"
"1561",519242,"Chris Sale",2012,"3019","51.71","0.274","0.151","0.308","0.425","0.304","0.006","0.000","134","489","null","null","null","87.6","null","154","919","634","null","null","null","null","null","null","null","null","null"
"513",605228,"Jose Fernandez",2015,"992","51.71","0.275","0.129","0.344","0.404","0.289","0.283","0.257","47","171","88.4","12.2","2294","92.1","92.09","71","338","173","0.0","6.59","109","148","107","146","296","312","289"
"1276",450729,"Doug Fister",2014,"2468","51.70","0.267","0.170","0.272","0.437","0.301","0.003","0.000","118","442","null","null","null","85.6","null","76","740","525","null","null","null","null","null","null","null","null","null"
"46",446372,"Corey Kluber",2011,"89","51.69","0.333","0.000","0.385","0.333","0.300","0.000","0.000","5","15","null","null","null","87.5","null","6","28","18","null","null","null","null","null","null","null","null","null"
"1466",450308,"Jered Weaver",2016,"2836","51.69","0.316","0.267","0.304","0.582","0.378","0.350","0.287","161","510","84.8","23.3","2239","77.6","76.98","146","904","550","-0.6","6.13","109","150","107","147","305","323","300"
"989",547874,"Hisashi Iwakuma",2012,"1916","51.62","0.300","0.208","0.305","0.507","0.349","0.010","0.000","101","337","null","null","null","87.4","null","91","635","350","null","null","null","null","null","null","null","null","null"
"653",453562,"Jake Arrieta",2013,"1265","51.62","0.257","0.246","0.265","0.503","0.321","0.014","0.000","49","191","null","null","null","91.7","null","50","386","260","null","null","null","null","null","null","null","null","null"
"1839",453286,"Max Scherzer",2016,"3564","51.60","0.235","0.204","0.263","0.438","0.283","0.284","0.241","129","550","83.4","24.7","2433","91.5","90.77","310","1253","575","-0.7","5.92","111","150","110","147","293","308","287"
"1534",434671,"Anibal Sanchez",2013,"2974","51.58","0.282","0.140","0.332","0.422","0.306","0.011","0.000","135","479","null","null","null","89.5","null","193","968","559","null","null","null","null","null","null","null","null","null"
"1739",518516,"Madison Bumgarner",2014,"3372","51.57","0.275","0.156","0.297","0.431","0.301","0.005","0.000","161","585","null","null","null","89.1","null","203","1177","554","null","null","null","null","null","null","null","null","null"
"1715",456034,"David Price",2012,"3332","51.47","0.252","0.104","0.294","0.356","0.265","0.004","0.000","138","547","null","null","null","92.3","null","166","1049","660","null","null","null","null","null","null","null","null","null"
"197",425794,"Adam Wainwright",2015,"383","51.44","0.250","0.092","0.275","0.342","0.251","0.285","0.274","19","76","84.0","9.9","2296","84.7","84.56","18","138","57","-0.1","6.17","111","148","109","148","292","302","296"
"1868",453286,"Max Scherzer",2014,"3638","51.35","0.284","0.171","0.335","0.454","0.318","0.010","0.000","158","557","null","null","null","89.4","null","270","1222","629","null","null","null","null","null","null","null","null","null"
"1413",519242,"Chris Sale",2014,"2753","51.33","0.248","0.129","0.304","0.377","0.271","0.006","0.000","106","427","null","null","null","89.6","null","206","891","518","null","null","null","null","null","null","null","null","null"
"1126",543037,"Gerrit Cole",2014,"2197","51.25","0.283","0.171","0.323","0.453","0.318","0.014","0.000","106","375","null","null","null","93.1","null","97","684","433","null","null","null","null","null","null","null","null","null"
"1255",450308,"Jered Weaver",2015,"2453","51.16","0.282","0.242","0.275","0.523","0.339","0.303","0.253","126","447","86.3","18.6","2062","77.6","77.44","133","783","465","-0.2","6.45","111","147","106","148","292","319","302"
"1204",594798,"Jacob deGrom",2016,"2354","51.15","0.295","0.159","0.324","0.454","0.320","0.342","0.302","121","410","83.6","15.5","2237","91.1","92.01","151","834","365","0.9","6.97","110","153","111","146","292","314","296"
"1637",518516,"Madison Bumgarner",2011,"3202","51.12","0.308","0.130","0.338","0.438","0.318","0.004","0.000","169","548","null","null","null","89.1","null","152","1030","594","null","null","null","null","null","null","null","null","null"
"807",506433,"Yu Darvish",2016,"1579","51.11","0.243","0.180","0.296","0.423","0.286","0.260","0.216","66","272","84.0","20.0","2480","89.1","89.46","121","515","291","0.4","6.36","108","149","110","147","301","329","302"
"992",543037,"Gerrit Cole",2016,"1942","51.08","0.309","0.130","0.340","0.439","0.322","0.316","0.297","102","330","83.8","16.7","2186","93.3","92.76","73","653","337","-0.5","6.16","113","150","108","149","298","307","288"
"1169",446372,"Corey Kluber",2013,"2290","51.05","0.301","0.165","0.332","0.467","0.331","0.008","0.000","122","405","null","null","null","90.8","null","131","713","450","null","null","null","null","null","null","null","null","null"
"1297",547874,"Hisashi Iwakuma",2014,"2542","51.02","0.288","0.168","0.304","0.456","0.321","0.003","0.000","139","482","null","null","null","86.4","null","106","839","451","null","null","null","null","null","null","null","null","null"
"1642",434671,"Anibal Sanchez",2011,"3225","50.91","0.291","0.187","0.326","0.478","0.328","0.011","0.000","148","508","null","null","null","88.3","null","202","1062","570","null","null","null","null","null","null","null","null","null"
"1778",446372,"Corey Kluber",2014,"3500","50.80","0.259","0.119","0.313","0.378","0.275","0.003","0.000","161","622","null","null","null","90.7","null","154","1067","700","null","null","null","null","null","null","null","null","null"
"419",448802,"Jaime Garcia",2013,"826","50.73","0.291","0.184","0.306","0.475","0.324","0.000","0.000","46","158","null","null","null","86.4","null","46","277","134","null","null","null","null","null","null","null","null","null"
"1561",543243,"Sonny Gray",2015,"3078","50.71","0.245","0.116","0.253","0.361","0.267","0.299","0.267","137","559","88.7","9.2","2326","90.8","90.42","141","1024","533","-0.4","6.02","111","151","110","147","295","318","300"
"1090",434378,"Justin Verlander",2015,"2150","50.70","0.254","0.141","0.272","0.395","0.277","0.270","0.250","90","354","87.4","20.9","2420","89.3","88.75","127","733","352","-0.6","6.05","109","151","114","144","286","302","280"
"1735",430935,"Cole Hamels",2013,"3423","50.69","0.286","0.205","0.310","0.491","0.326","0.005","0.000","163","570","null","null","null","88.8","null","233","1183","540","null","null","null","null","null","null","null","null","null"
"1758",477132,"Clayton Kershaw",2011,"3469","50.68","0.255","0.117","0.293","0.372","0.274","0.011","0.000","146","572","null","null","null","90.6","null","190","1117","635","null","null","null","null","null","null","null","null","null"
"1707",430935,"Cole Hamels",2010,"3368","50.68","0.272","0.197","0.294","0.470","0.314","0.003","0.000","149","547","null","null","null","88.9","null","232","1136","562","null","null","null","null","null","null","null","null","null"
"1410",218596,"Tim Hudson",2014,"2784","50.65","0.307","0.158","0.319","0.465","0.331","0.006","0.000","173","563","null","null","null","86.5","null","106","929","469","null","null","null","null","null","null","null","null","null"
"504",543243,"Sonny Gray",2013,"995","50.65","0.244","0.106","0.278","0.350","0.260","0.008","0.000","44","180","null","null","null","89.6","null","49","295","207","null","null","null","null","null","null","null","null","null"
"1657",446372,"Corey Kluber",2015,"3274","50.61","0.275","0.172","0.312","0.448","0.312","0.314","0.273","155","563","87.5","11.7","2312","90.5","90.68","189","1102","542","0.2","6.24","109","150","109","148","285","306","292"
"1886",433587,"Felix Hernandez",2010,"3731","50.55","0.243","0.115","0.271","0.358","0.266","0.014","0.000","152","625","null","null","null","91.6","null","173","1119","762","null","null","null","null","null","null","null","null","null"
"1695",456034,"David Price",2010,"3355","50.52","0.261","0.159","0.283","0.420","0.296","0.013","0.000","135","517","null","null","null","91.6","null","202","1093","599","null","null","null","null","null","null","null","null","null"
"1752",477132,"Clayton Kershaw",2012,"3469","50.50","0.246","0.139","0.284","0.385","0.274","0.012","0.000","138","561","null","null","null","89.9","null","201","1091","652","null","null","null","null","null","null","null","null","null"
